DATE,CSUSHPISA_PCH
1987-02-01,0.71915
1987-03-01,0.48119
1987-04-01,0.61328
1987-05-01,0.66481
1987-06-01,0.77329
1987-07-01,0.65990
1987-08-01,0.64655
1987-09-01,0.58563
1987-10-01,0.60598
1987-11-01,0.54475
1987-12-01,0.58438
1988-01-01,0.51530
1988-02-01,0.58672
1988-03-01,0.54143
1988-04-01,0.48682
1988-05-01,0.64452
1988-06-01,0.65601
1988-07-01,0.65738
1988-08-01,0.62365
1988-09-01,0.61421
1988-10-01,0.54679
1988-11-01,0.60164
1988-12-01,0.53509
1989-01-01,0.65611
1989-02-01,0.58963
1989-03-01,0.53105
1989-04-01,0.41190
1989-05-01,0.29434
1989-06-01,0.23106
1989-07-01,0.23450
1989-08-01,0.23528
1989-09-01,0.29143
1989-10-01,0.29847
1989-11-01,0.31331
1989-12-01,0.24046
1990-01-01,0.25031
1990-02-01,0.20287
1990-03-01,0.19208
1990-04-01,0.09974
1990-05-01,0.02459
1990-06-01,-0.05045
1990-07-01,-0.15532
1990-08-01,-0.16723
1990-09-01,-0.20647
1990-10-01,-0.19649
1990-11-01,-0.42895
1990-12-01,-0.24355
1991-01-01,-0.35309
1991-02-01,-0.23974
1991-03-01,-0.21655
1991-04-01,-0.00662
1991-05-01,0.26468
1991-06-01,0.30093
1991-07-01,0.11843
1991-08-01,0.03549
1991-09-01,0.11037
1991-10-01,-0.15618
1991-11-01,-0.07887
1991-12-01,0.05394
1992-01-01,0.03945
1992-02-01,0.09200
1992-03-01,0.15889
1992-04-01,0.09046
1992-05-01,0.06942
1992-06-01,-0.08770
1992-07-01,-0.08909
1992-08-01,-0.04327
1992-09-01,0.01049
1992-10-01,0.17970
1992-11-01,0.23961
1992-12-01,0.15021
1993-01-01,0.14347
1993-02-01,0.06903
1993-03-01,0.04035
1993-04-01,0.08977
1993-05-01,0.12998
1993-06-01,0.26741
1993-07-01,0.24080
1993-08-01,0.23764
1993-09-01,0.23450
1993-10-01,0.18896
1993-11-01,0.26559
1993-12-01,0.22649
1994-01-01,0.33961
1994-02-01,0.17305
1994-03-01,0.16259
1994-04-01,0.16613
1994-05-01,0.29752
1994-06-01,0.25372
1994-07-01,0.21656
1994-08-01,0.23494
1994-09-01,0.17172
1994-10-01,0.18269
1994-11-01,0.10617
1994-12-01,0.18216
1995-01-01,0.16315
1995-02-01,0.12558
1995-03-01,0.08817
1995-04-01,0.07692
1995-05-01,0.05455
1995-06-01,0.09913
1995-07-01,0.18939
1995-08-01,0.21251
1995-09-01,0.24288
1995-10-01,0.21647
1995-11-01,0.16814
1995-12-01,0.14335
1996-01-01,0.11990
1996-02-01,0.14542
1996-03-01,0.29407
1996-04-01,0.27496
1996-05-01,0.22931
1996-06-01,0.17189
1996-07-01,0.21389
1996-08-01,0.18932
1996-09-01,0.20581
1996-10-01,0.14413
1996-11-01,0.21109
1996-12-01,0.20227
1997-01-01,0.27950
1997-02-01,0.26800
1997-03-01,0.32312
1997-04-01,0.20130
1997-05-01,0.28125
1997-06-01,0.25807
1997-07-01,0.29620
1997-08-01,0.28360
1997-09-01,0.32370
1997-10-01,0.34479
1997-11-01,0.56416
1997-12-01,0.53098
1998-01-01,0.59937
1998-02-01,0.44285
1998-03-01,0.49885
1998-04-01,0.49411
1998-05-01,0.54569
1998-06-01,0.53825
1998-07-01,0.51756
1998-08-01,0.52708
1998-09-01,0.52101
1998-10-01,0.50297
1998-11-01,0.52553
1998-12-01,0.55532
1999-01-01,0.53500
1999-02-01,0.49674
1999-03-01,0.58290
1999-04-01,0.60287
1999-05-01,0.58976
1999-06-01,0.66182
1999-07-01,0.64288
1999-08-01,0.64913
1999-09-01,0.66243
1999-10-01,0.67442
1999-11-01,0.64148
1999-12-01,0.69488
2000-01-01,0.70911
2000-02-01,0.78368
2000-03-01,0.77660
2000-04-01,0.78041
2000-05-01,0.73356
2000-06-01,0.71954
2000-07-01,0.60331
2000-08-01,0.67965
2000-09-01,0.72706
2000-10-01,0.79315
2000-11-01,0.85675
2000-12-01,0.77376
2001-01-01,0.64688
2001-02-01,0.59629
2001-03-01,0.54932
2001-04-01,0.48871
2001-05-01,0.45857
2001-06-01,0.56436
2001-07-01,0.61616
2001-08-01,0.59476
2001-09-01,0.56584
2001-10-01,0.43375
2001-11-01,0.47437
2001-12-01,0.51615
2002-01-01,0.59079
2002-02-01,0.59927
2002-03-01,0.71450
2002-04-01,0.77852
2002-05-01,0.93052
2002-06-01,0.90206
2002-07-01,0.88250
2002-08-01,0.76737
2002-09-01,0.76637
2002-10-01,0.76455
2002-11-01,0.74363
2002-12-01,0.75314
2003-01-01,0.65662
2003-02-01,0.69593
2003-03-01,0.61227
2003-04-01,0.56628
2003-05-01,0.65019
2003-06-01,0.69382
2003-07-01,0.85036
2003-08-01,0.89104
2003-09-01,0.98245
2003-10-01,0.90832
2003-11-01,0.91687
2003-12-01,0.99860
2004-01-01,1.04651
2004-02-01,1.09074
2004-03-01,1.30315
2004-04-01,1.05820
2004-05-01,1.08600
2004-06-01,1.12360
2004-07-01,0.99299
2004-08-01,0.85636
2004-09-01,1.01223
2004-10-01,1.01895
2004-11-01,1.14093
2004-12-01,1.14457
2005-01-01,1.22890
2005-02-01,1.27474
2005-03-01,1.51092
2005-04-01,1.01862
2005-05-01,1.10447
2005-06-01,1.08650
2005-07-01,0.97493
2005-08-01,0.91577
2005-09-01,1.14364
2005-10-01,0.90117
2005-11-01,0.92851
2005-12-01,0.68399
2006-01-01,0.77939
2006-02-01,0.53093
2006-03-01,0.58760
2006-04-01,-0.01953
2006-05-01,-0.09440
2006-06-01,-0.35188
2006-07-01,-0.23977
2006-08-01,-0.25838
2006-09-01,0.11172
2006-10-01,0.21937
2006-11-01,0.22435
2006-12-01,0.28866
2007-01-01,0.20474
2007-02-01,0.04444
2007-03-01,-0.24323
2007-04-01,-0.61906
2007-05-01,-0.77045
2007-06-01,-0.74119
2007-07-01,-0.63411
2007-08-01,-0.55552
2007-09-01,-0.31328
2007-10-01,-0.52603
2007-11-01,-0.83624
2007-12-01,-0.45961
2008-01-01,-0.69404
2008-02-01,-0.91895
2008-03-01,-0.86685
2008-04-01,-1.00850
2008-05-01,-0.99739
2008-06-01,-0.98524
2008-07-01,-0.87869
2008-08-01,-0.96596
2008-09-01,-1.03650
2008-10-01,-1.23636
2008-11-01,-1.38069
2008-12-01,-1.61585
2009-01-01,-1.37484
2009-02-01,-0.98544
2009-03-01,-0.90192
2009-04-01,-0.47827
2009-05-01,-0.17168
2009-06-01,0.26744
2009-07-01,0.21676
2009-08-01,-0.09029
2009-09-01,-0.17130
2009-10-01,-0.11822
2009-11-01,0.19277
2009-12-01,-0.13771
2010-01-01,-0.36098
2010-02-01,-1.19611
2010-03-01,0.15656
2010-04-01,0.37159
2010-05-01,-0.00683
2010-06-01,-0.45972
2010-07-01,-0.50096
2010-08-01,-0.74281
2010-09-01,-0.62260
2010-10-01,-0.34122
2010-11-01,-0.25048
2010-12-01,-0.07807
2011-01-01,-0.37871
2011-02-01,-0.82743
2011-03-01,-0.26291
2011-04-01,0.01929
2011-05-01,-0.07571
2011-06-01,-0.03145
2011-07-01,-0.09224
2011-08-01,-0.30201
2011-09-01,-0.45941
2011-10-01,-0.51634
2011-11-01,-0.57991
2011-12-01,-0.34852
2012-01-01,-0.04902
2012-02-01,-0.05490
2012-03-01,1.00489
2012-04-01,0.90715
2012-05-01,0.71934
2012-06-01,0.62430
2012-07-01,0.45380
2012-08-01,0.42987
2012-09-01,0.44279
2012-10-01,0.48492
2012-11-01,0.68453
2012-12-01,0.63492
2013-01-01,0.91132
2013-02-01,0.64973
2013-03-01,1.47445
2013-04-01,1.03826
2013-05-01,0.87843
2013-06-01,0.88125
2013-07-01,0.91246
2013-08-01,0.87465
2013-09-01,0.80400
2013-10-01,0.64085
2013-11-01,0.52185
2013-12-01,0.57536
2014-01-01,0.58263
2014-02-01,0.36744
2014-03-01,0.34517
2014-04-01,0.18886
2014-05-01,0.16341
2014-06-01,0.23829
2014-07-01,0.32002
2014-08-01,0.38827
2014-09-01,0.41763
2014-10-01,0.44422
2014-11-01,0.41646
2014-12-01,0.42967
2015-01-01,0.34869
2015-02-01,0.29174
2015-03-01,0.39672
2015-04-01,0.29328
2015-05-01,0.34174
2015-06-01,0.33180
2015-07-01,0.39603
2015-08-01,0.46825
2015-09-01,0.51695
2015-10-01,0.55513
2015-11-01,0.54292
2015-12-01,0.45975
2016-01-01,0.41177
2016-02-01,0.21040
2016-03-01,0.28933
2016-04-01,0.33676
2016-05-01,0.37031
2016-06-01,0.35334
2016-07-01,0.43262
2016-08-01,0.56237
2016-09-01,0.53503
2016-10-01,0.50647
2016-11-01,0.54691
2016-12-01,0.52012
2017-01-01,0.57881
2017-02-01,0.27248
2017-03-01,0.36143
2017-04-01,0.39258
2017-05-01,0.47954
2017-06-01,0.46459
2017-07-01,0.50863
2017-08-01,0.64341
2017-09-01,0.56198
2017-10-01,0.52788
2017-11-01,0.57798
2017-12-01,0.61446
2018-01-01,0.56963
2018-02-01,0.46502
2018-03-01,0.37050
2018-04-01,0.35612
2018-05-01,0.40221
2018-06-01,0.40854
2018-07-01,0.35398
2018-08-01,0.40199
2018-09-01,0.30667
2018-10-01,0.34486
2018-11-01,0.24862
2018-12-01,0.21737
2019-01-01,0.15527
2019-02-01,0.17199
2019-03-01,0.10543
2019-04-01,0.24688
2019-05-01,0.33929
2019-06-01,0.27186
2019-07-01,0.32141
2019-08-01,0.41731
2019-09-01,0.35091
2019-10-01,0.36579
2019-11-01,0.42394
2019-12-01,0.49643
2020-01-01,0.43738
2020-02-01,0.44805
2020-03-01,0.28006
2020-04-01,0.24968
2020-05-01,0.14529
2020-06-01,0.32930
2020-07-01,0.81618
2020-08-01,1.40832
2020-09-01,1.49563
2020-10-01,1.65541
2020-11-01,1.43697
2020-12-01,1.33853
2021-01-01,1.20697
2021-02-01,1.24152
2021-03-01,1.34364
2021-04-01,1.56432
2021-05-01,1.84008
2021-06-01,1.99367
2021-07-01,1.71355
2021-08-01,1.56804
2021-09-01,1.24756
2021-10-01,1.14019
2021-11-01,1.18469
2021-12-01,1.39971
2022-01-01,1.50892
2022-02-01,1.92984
2022-03-01,1.93735
2022-04-01,1.52448
2022-05-01,1.18903
2022-06-01,0.35160
2022-07-01,-0.31631
2022-08-01,-0.78409
2022-09-01,-0.77738
2022-10-01,-0.23491
2022-11-01,-0.29098
2022-12-01,-0.34952
